"Date","Type","Biases","Patterns","Key Insight"
"2025-12-31","Chat","[]","[{""name"":""Analytical"",""percentage"":30},{""name"":""Emotional"",""percentage"":50},{""name"":""Pragmatic"",""percentage"":20},{""name"":""Creative"",""percentage"":0}]","Feeling stuck often indicates that there might be a lot of conflicting thoughts or emotions at play."
"2025-12-30","Chat","[]","[{""name"":""Analytical"",""percentage"":0},{""name"":""Emotional"",""percentage"":0},{""name"":""Pragmatic"",""percentage"":0},{""name"":""Creative"",""percentage"":0}]",""
"2025-12-24","Chat","[]","[{""name"":""Analytical"",""percentage"":0},{""name"":""Emotional"",""percentage"":0},{""name"":""Pragmatic"",""percentage"":0},{""name"":""Creative"",""percentage"":0}]",""
"2025-12-10","Chat","[]","[{""name"":""Analytical"",""percentage"":10},{""name"":""Emotional"",""percentage"":10},{""name"":""Pragmatic"",""percentage"":40},{""name"":""Creative"",""percentage"":40}]",""
"2025-12-10","Chat","[]","[{""name"":""Analytical"",""percentage"":0},{""name"":""Emotional"",""percentage"":0},{""name"":""Pragmatic"",""percentage"":0},{""name"":""Creative"",""percentage"":0}]",""
"2025-12-10","Chat","[]","{}",""
"2025-12-10","Chat","[]","{}",""
"2025-12-08","Chat","[]","{}",""
"2025-12-08","Chat","[]","{}",""
"2025-12-02","Chat","[]","{}",""
"2025-12-02","Chat","[]","{}",""
